Chinese (Traditional),English
的,of
我,I
你,you
了,Over
是,Yes
在,exist
我們,us
他,he
嗎,?
不,Do not
有,Have
說,Say
好,it is good
就,At once
吧,Bar
她,she
來,Come
知道,Know
都,All
什麼,what
對,right
去,go
也,also
很,very
啊,what
要,want
他們,them
琌,Bleak
那,That
人,people
沒,No
為,for
會,meeting
和,and
想,think
讓,Let
把,Bundle
不是,no
到,arrive
做,Do
一個,One
這,This
什么,what
得,have to
l,L
跟,and
可以,Can
上,superior
但,but
硂,Bleak
呢,Woolen cloth
這個,this
個,indivual
走,Walk
就是,that is
看,Look
能,can
這是,This is
這樣,so
怎麼,how
如果,if
們,People
被,quilt
你們,you
或,or
事,thing
聽,listen
誰,Who
自己,Own
現在,Now
從,from
不會,Won't
真的,real
它,it
因為,because
沒有,No
ㄓ,Bleak
話,talk
璶,Bleak
著,Be
死,die
不能,cannot
謝謝,thanks
再,Again
先生,gentlemen
告訴,Tell
不要,don't want
妳,you
後,back
別,do not
這,This
只是,only
需要,need
快,quick
那個,that
噁,evil
像,picture
叫,Call
穦,Bleak
該,Should
時候,when
可能,possible
碞,cliff
但是,but
所以,so
ぐ,Bleak
又,again
喜歡,like
見,See
找,Find
還有,and also
等,Wait
請,Please
我要,I want
這裡,here
一下,a bit
已經,already
一起,Together
這些,These
怎么,how
哦,Oh
裏,inside
盾,shield
才,talent
您,you
多,many
問題,question
殺,kill
還是,still
我會,I can
錢,money
孩子,child
看到,See
而,and
這麼,so
馬,horse
東西,thing
一樣,Same
應該,should
至,to
吃,eat
帶,bring
幫,help
弧,arc
工作,Work
笵,bamboo mold
時間,time
沒事,fine
用,use
哪,where
一定,must
稱,say
朋友,friend
開始,start
有人,Someone
嘿,Hey
希望,hope
啦,La
看看,have a look
回來,return
找到,turn up
嗯,Um
今天,today
長,long
地方,place
一直,Always
眔,Bleak
當然,certainly
於,At
不想,In no mood
抱歉,Feel sorry
最,most
筁,Bleak
天,sky
那些,Those ones
拿,take
ㄆ,Bleak
中,middle
以,by
可,Can
下,Down
真,real
你好,Hello
打,beat
只,Only
更,Even
所有,all
相信,Believe
那麼,So
起來,stand up
真是,Really
癸,Dwarf
一切,everything
明白,clear
大家,Everyone
事情,matter
不起,Be unable to afford
爸爸,dad
時,Time
不過,but
覺得,feel
非常,Very
想要,want to
临,Go
發生,occur
大,Big
一,one
愛,Love
年,year
必須,must
呀,ah
與,and
準備,Prepare
倒,fall
媽媽,Mother
嘛,Well
ネ,Bleak
認為,think
比,Compare
離開,leave
和,and
妓,prostitute
這里,here
意思,mean
沒錯,Right
一點,a little
秨,Bleak
這兒,here
痷,Bleak
太,too
跑,run
過來,come over
這種,This
已,already
翴,Bleak
常,often
只有,only
一次,once
ぱ,Bleak
拜,bye
快點,hurry up
摆,put
女人,woman
幹,Dry
不用,Need not
感覺,Feel
之前,Before
世界,world
可是,But
之,Of
發現,Find
辦,manage
瞷,Bleak
而且,and
一些,Some
很多,a lot of
向,Towards
出去,go out
小,Small
噢,Oh
等等,and many more
嗨,Hi
噁,evil
不行,no
出來,come out
任何,any
那樣,That way
名字,name
月,moon
生活,Life
住,live
兩個,two
地,land
開,open
卻,but
他媽,His mother
認識,know
喂,Hey
如何,how
我覺,I felt
到底,in the end
肯定,affim
里,inside
琵,lute
擔心,Worry
最好,most
癬,Ringworm
怎樣,how
所,Place
羅,Luo
是不是,is not it
父親,Father
男人,man
前,forward
有點,A bit
重要,important
好像,like
暗,dark
懂,Understand
電話,Telephone
不錯,good
繼續,continue
買,purchase
官,official
親愛的,Honey
要是,if
只要,if only
這么,so
錯,wrong
明天,tomorrow
回家,go home
得到,get
吹,blow
給我,give me
み,Bleak
正在,In
新,new
上帝,God
小姐,Miss
也許,Maybe
醫生,doctor
今晚,tonight
多少,How many
先,First
哪兒,where
寫,Write
哪裡,where
以前,before
它們,they
礛,Bleak
係,Tie
再見,goodbye
回去,go back
出,out
警察,police
怎麼樣,How about it
完全,completely
も,Bleak
ㄠ,Bleak
ゴ,Bleak
不到,Be unable to
記得,Remember
放,put
我能,I can
安全,Safety
女孩,girl
種,kind
那裡,There
兒子,son
還好,fine
蛤,Clam
ノ,Bleak
如此,in this way
復,complex
掉,Lose
不管,in spite of
其他,other
び,Bleak
い,い
聽著,listen
弄,alley
搞,Do
小心,Be careful
送,deliver
說過,Say
祇,Only
情況,Happening
喔,Oh
行,Row
產,Produce
那么,So
站,stand
狦,Bleak
好好,well
兄弟,brother
我來,I come
公司,company
結束,Finish
傢,Family
總,total
根本,fundamental
一天,one day
或者,or
進來,Come in
點,point
處,Place
確定,Sure
槍,gun
然后,Then
清楚,clear
高興,Happy
我現,I am present
機會,Chance
決定,Decide
穿,Put on
玡,Bleak
讽,Irony
託,Entrust
老,old
玩,Play
稲,Bleak
杠,Bars
家,Family
ウ,Bleak
喝,drink
混蛋,asshole
辦法,Method
歲,age
寶貝,baby
有些,some
方正,Square
女兒,daughter
睡,sleep
帝,emperor
其實,actually
手,hand
派,group
無法,Unable to
喝,drink
那邊,there
完,Finish
不了,Be unable to
竒,Bleak
女士,Miss
忘,forget
為了,for
伙,Partner
您的,Your
猭,ape
坐,sit
每個,Every
軍,military
過去,past
回事,Deepen
克,gram
街,street
晚上,night
砆,agate
歡迎,welcome
美國,U.S.
我想,I think
進去,Go in
钩,hook
還在,Still
麽,What's wrong?
另,Other
瘋,Crazy
眖,Bleak
成為,become
疭,Bleak
程,Procedure
唯一,only
幹什麼,What to do
救,save
就要,To
幫助,help
干,Dry
不好,not good
麻煩,trouble
筿,Bleak
這次,this time
故事,story
改變,Change
打算,Intend
接受,accept
鬼,ghost
丁,Ding
ぇ,Bleak
由,Depend on
我们,us
約,about
房子,house
看來,Seem
曾是,used to be
生命,life
玩笑,joke
蹤,trace
漂亮,pretty
谋,seek
よ,Bleak
忙,busy
笑,laugh
秈,Bleak
熱的,hot
留下,Leave
曾,Once
還,return
那兒,there
注意,Notice
樣,Sample
獺,otter
真正,real
衣服,clothing
害怕,Fear
礚,Bleak
倆,both
計劃,plan
待,treat
第一,First
成功,success
下去,Go on
選擇,choose
禗,Bleak
爸,dad
夢,Dream
岿,Bleak
哇,Wow
母親,Mother
當時,then
保護,Protect
甚至,even
還要,Still
這件,this
各位,Everyone
诀,Tactics
有個,is having a
那種,That kind
タ,Bleak
才能,Talent
壞,Bad
此,this
感謝,grateful
繷,Bleak
赣,Gan
想到,think
夫人,lady
失去,lose
太好了,Great
不同,different
無,none
這邊,Here
危險,Danger
幾個,several
達,Reach
拍,shoot
出現,Appear
很快,soon
回到,Return
笆,fence
回,Return
事實,fact
能夠,were able
內,Inside
總統,president
原因,reason
隻,Only
ゑ,Bleak
呃,Uh
而已,Just
舧,Bleak
外面,Outside
全部,all
人們,people
別人,other people
一種,A sort of
并,and
至少,At least
結婚,marry
身上,On the body
開心,happy
雖然,Although
薄,Thin
保證,ensure
幫忙,help
知道,Know
變成,become
盿,Bleak
钮,button
狗,dog
妻子,wife
是否,whether
粄,Bleak
挺,quite
太太,Mrs
だ,Bleak
我給,I give
收到,receive
抓,Grasp
大人,grown ups
下來,Down
那里,There
腊,Bald
或許,perhaps
房間,Room
猜,Guess
稰,Bleak
閉嘴,To shut up
眼睛,Eye
只能,Only
消息,information
狥,Bleak
谅谅,Forgive
尺,ruler
照片,photo
和,and
永遠,forever
進行,conduct
奇怪,strangeness
談,talk
然,But
處理,deal with
像是,Like
比賽,Contest
萬,Ten thousand
可是,But
只是,only
賣,Sell
沒什麼,nothing
起,rise
完成,Finish
特別,special
打電話,Call up
他會,He can
難道,Not
結果,result
紈,white silk
所以,so
恨,hatred
行動,action
最近,recent
剛剛,just
稦,Bleak
哪里,where
沒人,no one
難,Disaster
啥,What
臉,Face
靠,Depend on
談談,Talk
給,Give
吗,?
一件,One piece
你現,You
玂,Bleak
惠,benefit
ㄢ,Bleak
整個,entire
了解,learn
沒關,Not closed
there,pr
飯,meal
心,Heart
老師,teacher
努力,effort
感到,feel
學校,School
后,back
不好意思,Excuse me
就算,Even
第一次,the first time
炳,Dazzling
瞶,Bleak
直到,until
些,some
小時,Hour
多久,how long
解決,solve
存在,exist
求,beg
上面,above
路,road
小孩,Child
他們,them
聲音,sound
裡,inside
所有人,Owner
セ,Bleak
同意,agree
書,Book
腳,foot
洱,Paperous
有什麼,have what
死亡,die
要求,Require
晚安,Good night
號,No
給你,Give you
边,side
そ,Bleak
瞭解,learn
輕,light
单,one
國家,nation
丈夫,husband
人類,Humanity
兒,Son
主意,idea
除了,Apart from
ね,Bleak
跳,Jump
剛才,Just now
簡單,Simple
參加,join
拉,pull
調查,investigation
自由,free
さ,Bleak
簡體,Simplified
約翰,John
解釋,explain
戰爭,war
ч,bleak
翻譯,translate
フ,Bleak
陪,accompany
武器,arms
快樂,hapiness
焊,weld
小子,Little boy
理解,understand
突然,Sudden
耶,yeah
討厭,Hate
容易,easy
老婆,Wife
家人,family
控制,control
不再,no longer
全部,all
製,system
有趣,interesting
砛,Bleak
考慮,consider
高,high
回答,Reply
瓣,valve
離,Leave
目標,Target
一位,One
鬆,loose
字幕,subtitle
皑,Snow -covered
傷害,harm
替,for
大概,perhaps
打開,Open
看著,Look at
看見,see
久,Long
方式,Way
地球,Earth
秘密,secret
你會,You can
追,Chase
父母,parents
加油,come on
盽,Bleak
放在,Put in
龟,turtle
不見,not see
直接,direct
樣子,Look
早上,Morning
醫院,Hospital
日,day
最后,at last
做到,Achieve
見過,Met
么,What's wrong?
抓住,catch
每天,every day
保持,Keep
電影,Movie
公室,Room
更好,better
確實,really
娩,delivery
進,Enter
瞒,conceal
昨晚,last night
進入,Enter
這裡,here
盡,Fully
還沒,not yet
放下,lay down
照顧,take care of
任何人,anyone
休息,rest
咱們,we
然,But
使,Make
拿到,Get
髮,send
之間,between
瓳,Bleak
早,morning
留在,Stay
不然,otherwise
過,Pass
其他人,other people
媽的,Oh shit
飛機,airplane
若,like
絕對,absolute
身體,Body
通過,pass
ㄤ,Bleak
逼,force
蔼,Kind
博士,PhD
坐下,sit down
任務,Task
停下,Stop
闽,Fujian
滾,roll
肈,Bleak
無論,regardless
很棒,great
看起,Look
停,stop
人生,Life
钡,barium
其中,in
想法,idea
阻止,Prevent
代表,represent
力量,strength
試試,Try
正,just
作為,Be
媽,mom
牡,male
厩,stable
這位,this
老天,God
自,since
分鐘,minute
睡覺,sleep
窥,peep
想想,Think about
秆,stalk
這事,This issue
哥哥,elder brother
重新,again
癘,Bleak
糟糕,Oops
命令,Order
偷,steal
還能,Still
管,Tube
能夠,were able
ヴ,Bleak
贺,Congratulate
罢,stop
城市,City
花,flower
去,go
怕,afraid
盢,Bleak
什,Varied
生日,Birthday
琩,Bleak
加入,join in
碰,bump
方法,method
便,Be
穝,Bleak
未來,future
狟,Bleak
太棒了,awesome
呆,stay
政府,government
否則,otherwise
干什么,What to do
ン,ン ン
消失,disappear
坐在,Sit in
三,three
有事,Have something to do with
ェ,Bleak
咖啡,coffee
原諒,forgive
報告,Report
原來,turn out to be
三個,Three
檢查,an examination
看過,Seen
餓,hungry
越,cross
材,material
騙,cheat
家庭,family
哈,what
紐約,New York
本,Book
克斯,Chips
冷靜,calm
身邊,Beside
男孩,boy
厲害,sharp
在,exist
ゲ,Bleak
正常,normal
那天,That day
之后,after
昨天,yesterday
謝,Thanks
痛苦,pain
水,water
不可,Not
来,Come
變得,Become
亂,chaos
次,Second-rate
證明,prove
負責,Responsible
隨便,casual
簀,Bleak
甚麼,what
ら,Bleak
辨,Discern
麼,What's wrong?
上去,Go up
我剛,I just
你給,you give
美,nice
一場,One game
搶,grab
再也,Voyage
爾,you
癡,Be infatuated
獶,Bleak
研究,Research
ぶ,Bleak
ll,LL
这,This
可怕,horrible
開車,drive
道,road
附近,nearby
開槍,shot
每,Every
如果,if
矪,Bleak
我家,my home
絋,Bleak
老兄,Man
璸,pearl
干嘛,what
第,First
柑,Mandarin
似乎,seem
的,of
我,I
你,you
了,Over
是,Yes
在,exist
我們,us
他,he
嗎,?
不,Do not
有,Have
說,Say
好,it is good
就,At once
吧,Bar
她,she
來,Come
知道,Know
都,All
什麼,what
對,right
去,go
也,also
很,very
啊,what
要,want
他們,them
琌,Bleak
那,That
人,people
沒,No
為,for
會,meeting
和,and
想,think
讓,Let
把,Bundle
不是,no
到,arrive
做,Do
一個,One
這,This
什么,what
得,have to
l,L
跟,and
可以,Can
上,superior
但,but
硂,Bleak
呢,Woolen cloth
這個,this
個,indivual
走,Walk
就是,that is
看,Look
能,can
這是,This is
這樣,so
怎麼,how
如果,if
們,People
被,quilt
你們,you
或,or
事,thing
聽,listen
誰,Who
自己,Own
現在,Now
從,from
不會,Won't
真的,real
它,it
因為,because
沒有,No
ㄓ,Bleak
話,talk
璶,Bleak
著,Be
死,die
不能,cannot
謝謝,thanks
再,Again
先生,gentlemen
告訴,Tell
不要,don't want
妳,you
後,back
別,do not
這,This
只是,only
需要,need
快,quick
那個,that
噁,evil
像,picture
叫,Call
穦,Bleak
該,Should
時候,when
可能,possible
碞,cliff
但是,but
所以,so
ぐ,Bleak
又,again
喜歡,like
見,See
找,Find
還有,and also
等,Wait
請,Please
我要,I want
這裡,here
一下,a bit
已經,already
一起,Together
這些,These
怎么,how
哦,Oh
裏,inside
盾,shield
才,talent
您,you
多,many
問題,question
殺,kill
還是,still
我會,I can
錢,money
孩子,child
看到,See
而,and
這麼,so
馬,horse
東西,thing
一樣,Same
應該,should
至,to
吃,eat
帶,bring
幫,help
弧,arc
工作,Work
笵,bamboo mold
時間,time
沒事,fine
用,use
哪,where
一定,must
稱,say
朋友,friend
開始,start
有人,Someone
嘿,Hey
希望,hope
啦,La
看看,have a look
回來,return
找到,turn up
嗯,Um
今天,today
長,long
地方,place
一直,Always
眔,Bleak
當然,certainly
於,At
不想,In no mood
抱歉,Feel sorry
最,most
筁,Bleak
天,sky
那些,Those ones
拿,take
ㄆ,Bleak
中,middle
以,by
可,Can
下,Down
真,real
你好,Hello
打,beat
只,Only
更,Even
所有,all
相信,Believe
那麼,So
起來,stand up
真是,Really
癸,Dwarf
一切,everything
明白,clear
大家,Everyone
事情,matter
不起,Be unable to afford
爸爸,dad
時,Time
不過,but
覺得,feel
非常,Very
想要,want to
临,Go
發生,occur
大,Big
一,one
愛,Love
年,year
必須,must
呀,ah
與,and
準備,Prepare
倒,fall
媽媽,Mother
嘛,Well
ネ,Bleak
認為,think
比,Compare
離開,leave
和,and
妓,prostitute
這里,here
意思,mean
沒錯,Right
一點,a little
秨,Bleak
這兒,here
痷,Bleak
太,too
跑,run
過來,come over
這種,This
已,already
翴,Bleak
常,often
只有,only
一次,once
ぱ,Bleak
拜,bye
快點,hurry up
摆,put
女人,woman
幹,Dry
不用,Need not
感覺,Feel
之前,Before
世界,world
可是,But
之,Of
發現,Find
辦,manage
瞷,Bleak
而且,and
一些,Some
很多,a lot of
向,Towards
出去,go out
小,Small
噢,Oh
等等,and many more
嗨,Hi
噁,evil
不行,no
出來,come out
任何,any
那樣,That way
名字,name
月,moon
生活,Life
住,live
兩個,two
地,land
開,open
卻,but
他媽,His mother
認識,know
喂,Hey
如何,how
我覺,I felt
到底,in the end
肯定,affim
里,inside
琵,lute
擔心,Worry
最好,most
癬,Ringworm
怎樣,how
所,Place
羅,Luo
是不是,is not it
父親,Father
男人,man
前,forward
有點,A bit
重要,important
好像,like
暗,dark
懂,Understand
電話,Telephone
不錯,good
繼續,continue
買,purchase
官,official
親愛的,Honey
要是,if
只要,if only
這么,so
錯,wrong
明天,tomorrow
回家,go home
得到,get
吹,blow
給我,give me
み,Bleak
正在,In
新,new
上帝,God
小姐,Miss
也許,Maybe
醫生,doctor
今晚,tonight
多少,How many
先,First
哪兒,where
寫,Write
哪裡,where
以前,before
它們,they
礛,Bleak
係,Tie
再見,goodbye
回去,go back
出,out
警察,police
怎麼樣,How about it
完全,completely
も,Bleak
ㄠ,Bleak
ゴ,Bleak
不到,Be unable to
記得,Remember
放,put
我能,I can
安全,Safety
女孩,girl
種,kind
那裡,There
兒子,son
還好,fine
蛤,Clam
ノ,Bleak
如此,in this way
復,complex
掉,Lose
不管,in spite of
其他,other
び,Bleak
い,い
聽著,listen
弄,alley
搞,Do
小心,Be careful
送,deliver
說過,Say
祇,Only
情況,Happening
喔,Oh
行,Row
產,Produce
那么,So
站,stand
狦,Bleak
好好,well
兄弟,brother
我來,I come
公司,company
結束,Finish
傢,Family
總,total
根本,fundamental
一天,one day
或者,or
進來,Come in
點,point
處,Place
確定,Sure
槍,gun
然后,Then
清楚,clear
高興,Happy
我現,I am present
機會,Chance
決定,Decide
穿,Put on
玡,Bleak
讽,Irony
託,Entrust
老,old
玩,Play
稲,Bleak
杠,Bars
家,Family
ウ,Bleak
喝,drink
混蛋,asshole
辦法,Method
歲,age
寶貝,baby
有些,some
方正,Square
女兒,daughter
睡,sleep
帝,emperor
其實,actually
手,hand
派,group
無法,Unable to
喝,drink
那邊,there
完,Finish
不了,Be unable to
竒,Bleak
女士,Miss
忘,forget
為了,for
伙,Partner
您的,Your
猭,ape
坐,sit
每個,Every
軍,military
過去,past
回事,Deepen
克,gram
街,street
晚上,night
砆,agate
歡迎,welcome
美國,U.S.
我想,I think
進去,Go in
钩,hook
還在,Still
麽,What's wrong?
另,Other
瘋,Crazy
眖,Bleak
成為,become
疭,Bleak
程,Procedure
唯一,only
幹什麼,What to do
救,save
就要,To
幫助,help
干,Dry
不好,not good
麻煩,trouble
筿,Bleak
這次,this time
故事,story
改變,Change
打算,Intend
接受,accept
鬼,ghost
丁,Ding
ぇ,Bleak
由,Depend on
我们,us
約,about
房子,house
看來,Seem
曾是,used to be
生命,life
玩笑,joke
蹤,trace
漂亮,pretty
谋,seek
よ,Bleak
忙,busy
笑,laugh
秈,Bleak
熱的,hot
留下,Leave
曾,Once
還,return
那兒,there
注意,Notice
樣,Sample
獺,otter
真正,real
衣服,clothing
害怕,Fear
礚,Bleak
倆,both
計劃,plan
待,treat
第一,First
成功,success
下去,Go on
選擇,choose
禗,Bleak
爸,dad
夢,Dream
岿,Bleak
哇,Wow
母親,Mother
當時,then
保護,Protect
甚至,even
還要,Still
這件,this
各位,Everyone
诀,Tactics
有個,is having a
那種,That kind
タ,Bleak
才能,Talent
壞,Bad
此,this
感謝,grateful
繷,Bleak
赣,Gan
想到,think
夫人,lady
失去,lose
太好了,Great
不同,different
無,none
這邊,Here
危險,Danger
幾個,several
達,Reach
拍,shoot
出現,Appear
很快,soon
回到,Return
笆,fence
回,Return
事實,fact
能夠,were able
內,Inside
總統,president
原因,reason
隻,Only
ゑ,Bleak
呃,Uh
而已,Just
舧,Bleak
外面,Outside
全部,all
人們,people
別人,other people
一種,A sort of
并,and
至少,At least
結婚,marry
身上,On the body
開心,happy
雖然,Although
薄,Thin
保證,ensure
幫忙,help
知道,Know
變成,become
盿,Bleak
钮,button
狗,dog
妻子,wife
是否,whether
粄,Bleak
挺,quite
太太,Mrs
だ,Bleak
我給,I give
收到,receive
抓,Grasp
大人,grown ups
下來,Down
那里,There
腊,Bald
或許,perhaps
房間,Room
猜,Guess
稰,Bleak
閉嘴,To shut up
眼睛,Eye
只能,Only
消息,information
狥,Bleak
谅谅,Forgive
尺,ruler
照片,photo
和,and
永遠,forever
進行,conduct
奇怪,strangeness
談,talk
然,But
處理,deal with
像是,Like
比賽,Contest
萬,Ten thousand
可是,But
只是,only
賣,Sell
沒什麼,nothing
起,rise
完成,Finish
特別,special
打電話,Call up
他會,He can
難道,Not
結果,result
紈,white silk
所以,so
恨,hatred
行動,action
最近,recent
剛剛,just
稦,Bleak
哪里,where
沒人,no one
難,Disaster
啥,What
臉,Face
靠,Depend on
談談,Talk
給,Give
吗,?
一件,One piece
你現,You
玂,Bleak
惠,benefit
ㄢ,Bleak
整個,entire
了解,learn
沒關,Not closed
there,pr
飯,meal
心,Heart
老師,teacher
努力,effort
感到,feel
學校,School
后,back
不好意思,Excuse me
就算,Even
第一次,the first time
炳,Dazzling
瞶,Bleak
直到,until
些,some
小時,Hour
多久,how long
解決,solve
存在,exist
求,beg
上面,above
路,road
小孩,Child
他們,them
聲音,sound
裡,inside
所有人,Owner
セ,Bleak
同意,agree
書,Book
腳,foot
洱,Paperous
有什麼,have what
死亡,die
要求,Require
晚安,Good night
號,No
給你,Give you
边,side
そ,Bleak
瞭解,learn
輕,light
单,one
國家,nation
丈夫,husband
人類,Humanity
兒,Son
主意,idea
除了,Apart from
ね,Bleak
跳,Jump
剛才,Just now
簡單,Simple
參加,join
拉,pull
調查,investigation
自由,free
さ,Bleak
簡體,Simplified
約翰,John
解釋,explain
戰爭,war
ч,bleak
翻譯,translate
フ,Bleak
陪,accompany
武器,arms
快樂,hapiness
焊,weld
小子,Little boy
理解,understand
突然,Sudden
耶,yeah
討厭,Hate
容易,easy
老婆,Wife
家人,family
控制,control
不再,no longer
全部,all
製,system
有趣,interesting
砛,Bleak
考慮,consider
高,high
回答,Reply
瓣,valve
離,Leave
目標,Target
一位,One
鬆,loose
字幕,subtitle
皑,Snow -covered
傷害,harm
替,for
大概,perhaps
打開,Open
看著,Look at
看見,see
久,Long
方式,Way
地球,Earth
秘密,secret
你會,You can
追,Chase
父母,parents
加油,come on
盽,Bleak
放在,Put in
龟,turtle
不見,not see
直接,direct
樣子,Look
早上,Morning
醫院,Hospital
日,day
最后,at last
做到,Achieve
見過,Met
么,What's wrong?
抓住,catch
每天,every day
保持,Keep
電影,Movie
公室,Room
更好,better
確實,really
娩,delivery
進,Enter
瞒,conceal
昨晚,last night
進入,Enter
這裡,here
盡,Fully
還沒,not yet
放下,lay down
照顧,take care of
任何人,anyone
休息,rest
咱們,we
然,But
使,Make
拿到,Get
髮,send
之間,between
瓳,Bleak
早,morning
留在,Stay
不然,otherwise
過,Pass
其他人,other people
媽的,Oh shit
飛機,airplane
若,like
絕對,absolute
身體,Body
通過,pass
ㄤ,Bleak
逼,force
蔼,Kind
博士,PhD
坐下,sit down
任務,Task
停下,Stop
闽,Fujian
滾,roll
肈,Bleak
無論,regardless
很棒,great
看起,Look
停,stop
人生,Life
钡,barium
其中,in
想法,idea
阻止,Prevent
代表,represent
力量,strength
試試,Try
正,just
作為,Be
媽,mom
牡,male
厩,stable
這位,this
老天,God
自,since
分鐘,minute
睡覺,sleep
窥,peep
想想,Think about
秆,stalk
這事,This issue
哥哥,elder brother
重新,again
癘,Bleak
糟糕,Oops
命令,Order
偷,steal
還能,Still
管,Tube
能夠,were able
ヴ,Bleak
贺,Congratulate
罢,stop
城市,City
花,flower
去,go
怕,afraid
盢,Bleak
什,Varied
生日,Birthday
琩,Bleak
加入,join in
碰,bump
方法,method
便,Be
穝,Bleak
未來,future
狟,Bleak
太棒了,awesome
呆,stay
政府,government
否則,otherwise
干什么,What to do
消失,disappear
坐在,Sit in
三,three
有事,Have something to do with
ェ,Bleak
咖啡,coffee
原諒,forgive
報告,Report
原來,turn out to be
三個,Three
檢查,an examination
看過,Seen
餓,hungry
越,cross
材,material
騙,cheat
家庭,family
哈,what
紐約,New York
本,Book
克斯,Chips
冷靜,calm
身邊,Beside
男孩,boy
厲害,sharp
在,exist
ゲ,Bleak
正常,normal
那天,That day
之后,after
昨天,yesterday
謝,Thanks
痛苦,pain
水,water
不可,Not
来,Come
變得,Become
亂,chaos
次,Second-rate
證明,prove
負責,Responsible
隨便,casual
簀,Bleak
甚麼,what
ら,Bleak
辨,Discern
麼,What's wrong?
上去,Go up
我剛,I just
你給,you give
美,nice
一場,One game
搶,grab
再也,Voyage
爾,you
癡,Be infatuated
獶,Bleak
研究,Research
ぶ,Bleak
这,This
可怕,horrible
開車,drive
道,road
附近,nearby
開槍,shot
每,Every
如果,if
矪,Bleak
我家,my home
絋,Bleak
老兄,Man
璸,pearl
干嘛,what
第,First
柑,Mandarin
似乎,seem